Strike,Maturity,Noisy Market Price,Fitted Price,Price Residual,Noisy Market IV,Fitted IV,IV Residual
80.0,0.25,21.10928552700588,21.098135741868717,-0.011149785137163803,0.24589222534160698,0.24181431575307083,-0.004077909588536155
90.0,0.25,11.860423959873259,11.858232067708485,-0.00219189216477389,0.21909603769175326,0.21888769699730207,-0.0002083406944511923
100.0,0.25,4.441161412984556,4.5351963641654365,0.09403495118088046,0.19114797724037644,0.1959370963801377,0.0047891191397612665
110.0,0.25,0.8264874576333483,0.8327469560614666,0.0062594984281183486,0.17397123895615532,0.17444477801153968,0.0004735390553843588
120.0,0.25,0.05419579022587895,0.05215838301773168,-0.0020374072081472683,0.16058384900911327,0.1596936876417031,-0.0008901613674101583
80.0,0.5,22.43443053631148,22.42832138359941,-0.006109152712070909,0.2378526095104267,0.2371195337006179,-0.000733075809808803
90.0,0.5,13.834631609637881,13.792136363258365,-0.042495246379516516,0.2188000153248587,0.2164914350876278,-0.002308580237230906
100.0,0.5,6.837281975180318,6.788446623900498,-0.04883535127981986,0.19811931466859478,0.1963336415656728,-0.0017856731029219919
110.0,0.5,2.3372549845417687,2.337975004992572,0.000720020450803105,0.17756011275146058,0.17758899453495172,2.8881783491141455e-05
120.0,0.5,0.5005112372810725,0.49179759668936995,-0.008713640591702543,0.1636147921288282,0.16289089464201456,-0.0007238974868136461
80.0,1.0,24.995726309059336,25.055986041692137,0.06025973263280093,0.22672258018437544,0.2302834255044822,0.0035608453201067536
90.0,1.0,17.1163070353683,17.075301455864974,-0.04100557950332728,0.21503130868992262,0.21357824057373692,-0.0014530681161857018
100.0,1.0,10.400624392349123,10.370813648847559,-0.029810743501563763,0.19866837386252484,0.1978735631826288,-0.0007948106798960353
110.0,1.0,5.337438956823078,5.3879696642183035,0.05053070739522525,0.18220874590340722,0.18349094483981682,0.001282198936409601
120.0,1.0,2.3460332930730274,2.2966757308989827,-0.049357562174044745,0.1726344676362032,0.1710711310678154,-0.0015633365683877798
80.0,2.0,29.650110775148157,29.73020523441859,0.08009445927043402,0.22018143013523875,0.2230556631687852,0.002874233033546447
90.0,2.0,22.60399616600686,22.485229607357972,-0.11876655864888619,0.21448435960327036,0.21150775338574226,-0.0029766062175280994
100.0,2.0,16.087218576463663,16.175773168556447,0.08855459209278393,0.19920725096034297,0.20098130223220376,0.0017740512718607826
110.0,2.0,11.033802538437051,10.977464253668849,-0.05633828476820213,0.19243530114736926,0.1914249756344837,-0.001010325512885546
120.0,2.0,6.931339490411773,6.973576120172922,0.04223662976114895,0.1820729328579587,0.18283519685119673,0.0007622639932380326
