Strike,Maturity,Market IV,Market Price,BS Fitted Price,Heston Fitted Price,BS Price Residual,Heston Price Residual,BS Fitted IV,Heston Fitted IV,BS IV Residual,Heston IV Residual
80.0,0.25,0.2438037779464436,21.103488404834266,21.014725842267993,21.09634786808354,-0.08876256256627357,-0.007140536750725346,0.19346251086130153,0.2411357989891115,-0.050341267085142055,-0.00266797895733209
90.0,0.25,0.2219473777315375,11.890662252210163,11.610193257055286,11.868521688815534,-0.28046899515487667,-0.022140563394628998,0.19346251086130153,0.2198637594066361,-0.028484866870235964,-0.002083618324901393
100.0,0.25,0.19976636051172578,4.610407550621609,4.486603399015571,4.5848117236894055,-0.12380415160603775,-0.025595826932203636,0.19346251086130153,0.19846329964281173,-0.0063038496504242425,-0.0013030608689140466
110.0,0.25,0.17410412388442328,0.8282424536899846,1.0958923001033547,0.8731781443239406,0.2676498464133701,0.04493569063395597,0.19346251086130153,0.1774763009879401,0.01935838697687825,0.00337217710351681
120.0,0.25,0.1598311137757365,0.05246960386016264,0.1678181888365664,0.05326566380134112,0.11534858497640377,0.0007960599411784841,0.19346251086130153,0.16018022597724657,0.033631397085565035,0.00034911220151007116
80.0,0.5,0.23744167660661922,22.431000934800352,22.141453049926056,22.425805799978207,-0.2895478848742954,-0.005195134822145064,0.19346251086130153,0.2368162314142287,-0.04397916574531768,-0.0006254451923905224
90.0,0.5,0.21644616179252668,13.791306214496416,13.387416016503735,13.808770964067463,-0.40389019799268056,0.017464749571047378,0.19346251086130153,0.2173971989500346,-0.022983650931225147,0.0009510371575079113
100.0,0.5,0.1985844110783502,6.850003593437393,6.709951600202743,6.840086853483477,-0.14005199323464979,-0.00991673995391551,0.19346251086130153,0.19822186222538832,-0.005121900217048669,-0.0003625488529618859
110.0,0.5,0.17913435017099552,2.3765530215162514,2.7387698042089212,2.389950098353083,0.3622167826926699,0.013397076836831445,0.19346251086130153,0.17967005690338383,0.014328160690306013,0.0005357067323883136
120.0,0.5,0.16525486623620866,0.520516750621205,0.9176250340339429,0.49855764716034123,0.39710828341273796,-0.021959103460863716,0.19346251086130153,0.16345301112113453,0.02820764462509287,-0.0018018551150741358
80.0,1.0,0.2324245801794986,25.09285472108934,24.502482976020843,25.055063150167186,-0.5903717450684951,-0.03779157092215257,0.19346251086130153,0.23022947413461878,-0.03896206931819707,-0.0021951060448798243
90.0,1.0,0.2133970300513711,17.070197755655002,16.523643127238373,17.088132805734972,-0.5465546284166294,0.017935050079969983,0.19346251086130153,0.21403347595802558,-0.019934519190069555,0.000636445906654487
100.0,1.0,0.19658896936480552,10.322646471420548,10.205489865053913,10.39668804107059,-0.11715660636663472,0.07404156965004205,0.19346251086130153,0.19856343310218277,-0.003126458503503987,0.0019744637373772522
110.0,1.0,0.18515617786073807,5.45362316038517,5.781542600779019,5.407192623996721,0.327919440393849,-0.046430536388449184,0.19346251086130153,0.18397859641100583,0.008306333000563465,-0.0011775814497322346
120.0,1.0,0.17142934708108426,2.3079620400441847,3.0263236917029204,2.2865537018190203,0.7183616516587357,-0.021408338225164414,0.19346251086130153,0.170749490723866,0.022033163780217274,-0.0006798563572182614
80.0,2.0,0.2200924556821585,29.64764867507364,28.96192534671591,29.718218067206173,-0.6857233283577315,0.07056939213253344,0.19346251086130153,0.22262794133482883,-0.026629944820856954,0.0025354856526703384
90.0,2.0,0.21214192659593584,22.510471367039806,21.782361582699828,22.464613125047265,-0.7281097843399778,-0.04585824199254063,0.19346251086130153,0.21098915170414306,-0.018679415734634303,-0.0011527748917927738
100.0,2.0,0.20072256311193068,16.162852684999713,15.801049249091761,16.13902630666854,-0.3618034359079516,-0.023826378331172293,0.19346251086130153,0.20024533695607644,-0.007260052250629145,-0.00047722615585424344
110.0,2.0,0.19127851749703184,10.96929693513863,11.091076803996607,10.916728859498313,0.12177986885797765,-0.05256807564031618,0.19346251086130153,0.1903359035116759,0.002183993364269693,-0.0009426139853559445
120.0,2.0,0.17997780791979617,6.81532847425887,7.563884287279912,6.885785739941959,0.7485558130210421,0.07045726568308908,0.19346251086130153,0.18125049667142273,0.013484702941505361,0.0012726887516265606
